"Burns, Sandra",3.73
"Patel, Saiju",3.85
"Schwartz, Sharon",3.65
"Perkowski, James",3.45
"Collins, Eliot",3.65
"Romano, Alfred",3.94
"Mukherjee, Arun",4.05
"Khosla, Noopur",3.6
"Nazi, Ghassan",4.37
"Safran, Steven",4.01
"Benedict, Krista",4.52
"Lopes, Denise",4.35
"Vaksman, Sofia",4.0
"Arias, Cecilia",4.47
"Ross, Arianne",3.73
"Roemer, Cynthia",3.82
"Milman, Yevgeniy",4.17
"Sergel, Emily",4.21
"Sherwood, Deborah",4.35
"Forgoston, Sacha",4.38
"Lieberman, Melissa",4.54
"Beals, Robert",4.28
"Kinkhabwala, Rita",3.54
"Sprague, Gabriela",3.66
"Schwarz, Jeffrey",4.0
"Woo, Jeffrey",4.35
"Mulvey, Sally",3.86
"Morehead, Diane",3.95
"Patel, Dhansukh",3.86
"Amodio, James",4.08
"Unger, Laura",4.13
"Cochran, Geraldine",4.21
"Scheiman, David",4.23
"Frankie, Joseph",3.69
"Hirsch, Lewis",3.53
"Menke, Michael",4.0
"Abadir, Rasha",4.01
"Sarker, Shorab",3.46
"Tabanli, Sheila",3.92
"D'Alesandro, Anthony",3.93
"Goldberg, Richard",3.89
"Guadagni, Joseph",4.12
"Ning, Harold",3.62
"Threlfall, Shawn",4.14
"Grier, Toby",3.69
"Parmar, Davanjit",4.2
"Hafizi, Fatemeh",3.45
"Sargsyan, Grigor",3.54
"Cooney, Bernadette",3.94
"Charnley, Matthew",4.29
"Banerjee, Banmali",4.01
"Goonetilleke, Lasantha",3.99
"Hendricks, Kristen",4.14
"Bradley, Kristen",3.75
"Noone, Kevin",4.17
"Soffer, Sara",3.83
"Bahri Nunziante, Diana",3.87
"O'Halloran, Roger",4.08
"Krueger, August",2.93
"Prevost, Shari",3.9
"Coley, Ian",3.96
"Song, Jian",3.95
"Peterson, Stephen",4.09
"Wasserman, Eric",4.03
"Smythe, Iian",4.32
"Mischaikow, Konstantin",3.4
